rubrique,regime,department,count
2220,Enregistrement,67,9
2250,Autorisation,67,3
2250,Enregistrement,67,1
4130,Autorisation,67,4
4801,,67,4
2515,Inconnu,67,2
3532,Autorisation,67,6
2160,Enregistrement,67,2
4719,Autorisation,67,1
4801,Autorisation,67,3
2795,Autorisation,67,4
3350,Autorisation,67,3
1136,Autorisation,67,11
211,Autorisation,67,2
2230,,67,2
1190,,67,4
2680,,67,1
2685,,67,3
2910,Enregistrement,51,6
2920,Inconnu,51,56
2221,Enregistrement,67,5
2752,Autorisation,67,1
1180,Inconnu,67,1
1416,Inconnu,67,2
1418,Autorisation,67,4
1710,,67,4
1710,Inconnu,67,3
2440,Autorisation,67,3
81,Autorisation,67,4
121,,67,1
2330,Autorisation,67,2
4331,Enregistrement,67,5
4511,,67,7
2518,,67,1
2522,,67,4
2781,Autorisation,67,5
3510,Autorisation,67,2
3550,Autorisation,67,7
328BIS,,67,2
1185,Autorisation,67,3
218,,67,3
89,Autorisation,67,5
1151,,67,1
1180,Autorisation,67,2
1521,Autorisation,67,3
257,Inconnu,67,3
4421,,67,1
4510,,67,8
4726,,67,2
66,,67,1
67,,67,1
358,Autorisation,67,1
2410,Autorisation,67,19
2415,Autorisation,67,23
2663,Inconnu,67,4
2713,Inconnu,67,2
2791,Autorisation,67,17
2794,Enregistrement,67,1
141,,67,14
2521,Autorisation,67,15
223,,67,1
2220,,67,11
2221,Autorisation,67,5
1511,Enregistrement,67,2
2711,,67,12
2713,Enregistrement,67,4
2560,Enregistrement,08,14
2565,Autorisation,08,17
2575,,08,30
2940,Autorisation,08,18
4719,,08,2
4725,,08,2
1435,Enregistrement,67,7
2935,Inconnu,67,2
2415,,67,3
18BIS,,67,2
251,Autorisation,67,2
261BIS,,67,8
2450,Autorisation,67,2
2950,,67,2
1141,,67,1
7,,67,2
355,Autorisation,67,2
2160,Inconnu,67,2
89BIS,,67,1
268BIS,,67,2
2718,Autorisation,67,13
2790,Autorisation,67,3
342,,67,1
2410,Enregistrement,67,11
81QUA,Autorisation,67,6
2940,Inconnu,67,3
298,,67,2
299,,67,1
2713,Autorisation,67,10
2311,Autorisation,67,2
4718,Inconnu,67,1
2760,Enregistrement,46,22
375,,67,1
2251,Autorisation,67,10
2260,Enregistrement,67,1
271,,67,2
250,,67,1
35,,67,1
2221,,67,3
2771,Autorisation,67,2
3520,Autorisation,67,2
2565,Enregistrement,67,2
287,,67,2
2255,Autorisation,67,5
2718,,67,7
2717,Autorisation,67,2
2791,,67,9
2795,,67,1
2799,Autorisation,67,2
1132,Inconnu,67,1
4802,,51,17
1511,,67,6
253,Inconnu,67,1
2560,Inconnu,67,3
1331,,67,5
2760,Autorisation,67,5
128,Autorisation,67,1
2710,Autorisation,67,11
2713,,67,9
2714,Autorisation,67,12
2780,Autorisation,67,4
322,Inconnu,67,2
2210,,67,1
2716,,67,16
2170,,67,3
2780,Enregistrement,67,2
2255,,67,3
2915,Inconnu,67,1
4421,Autorisation,67,1
1171,,67,2
1173,Inconnu,67,2
1523,,67,1
1611,Inconnu,67,3
2101,,52,4
2170,Autorisation,67,2
1180,,68,27
1433,Autorisation,68,14
2450,Autorisation,68,9
2660,Autorisation,68,8
2661,Autorisation,68,29
2662,Autorisation,68,22
2920,,68,60
2921,,68,31
1172,Inconnu,67,2
1411,,67,3
2716,Autorisation,67,7
1220,Inconnu,67,2
