rubriques,years,departments,occurrences
281,1993,67,1
282,1993,67,2
284,1993,67,1
285,1993,67,1
288,1993,67,1
2910,2005,67,8
2921,2005,67,36
3,1993,67,3
361,1993,67,5
405,1993,67,4
406,1993,67,3
1432,2001,67,3
1520,1998,67,2
253,1998,67,10
2910,1998,67,13
2910,2001,67,6
4734,2001,67,1
1530,1999,67,2
1530,2004,67,3
167,1999,67,3
167,2004,67,3
2260,1999,67,5
2260,2004,67,5
2662,1999,67,5
2662,2004,67,9
286,1999,67,3
286,2004,67,3
322,1999,67,2
322,2004,67,4
329,1999,67,1
1220,1997,67,4
1414,1997,67,2
1434,1997,67,6
1435,1997,67,2
211,1997,67,5
253,1997,67,5
2560,1997,67,6
2561,1997,67,4
2565,1997,67,5
2567,1997,67,1
2575,1997,67,4
2920,1997,67,10
2940,1997,67,7
2560,2016,67,4
2565,2016,67,1
2925,2016,67,2
2940,2016,67,4
120,1981,67,1
183BIS,1981,67,1
211,1981,67,2
217,1981,67,2
119,1980,67,1
286,1980,67,2
405,1980,67,3
1131,2008,67,7
1158,2008,67,3
1220,2008,67,2
2560,2008,67,8
2565,2008,67,4
2660,2008,67,3
2661,2008,67,4
2662,2008,67,5
2910,2008,67,12
2920,2008,67,11
2925,1995,67,3
2925,2008,67,8
2940,2008,67,6
3260,2013,67,8
361,1995,67,6
405,1995,67,5
406,1995,67,4
4725,2008,67,1
1131,1998,67,4
1150,2009,67,1
1158,2009,67,2
1175,1998,67,5
1180,1998,67,5
137,1981,67,1
1418,1998,67,1
1432,2009,67,13
1433,2009,67,4
167,1998,67,4
1BIS,1981,67,1
2410,1998,67,5
251,1974,67,1
2560,1999,67,7
2660,2009,67,4
2661,1998,67,2
2661,2016,67,1
2663,2016,67,1
2910,2016,67,9
2920,2009,67,14
2925,1998,67,8
2940,2009,67,7
3410,2014,67,1
46,1981,67,1
81BIS,1981,67,1
1414,1998,67,3
1715,2008,67,4
1720,1998,67,3
2920,1998,67,13
2940,1998,67,8
1111,2002,67,1
1131,2002,67,1
1412,2002,67,3
1412,2006,67,3
1611,2002,67,1
1611,2006,67,3
2561,2006,67,1
2561,2002,67,1
2564,2002,67,1
2565,2002,67,1
2565,2006,67,3
2567,2006,67,1
2567,2002,67,1
2910,2002,67,6
2910,2006,67,11
2925,2002,67,11
1510,2006,67,6
1530,2006,67,5
2523,1990,67,1
2661,1990,67,1
2220,2016,67,2
2230,2007,67,2
2915,2007,67,3
2921,2007,67,7
3642,2016,67,1
4735,2007,67,1
1111,1998,67,2
1131,2009,67,4
1150,1998,67,1
1155,1998,67,1
1171,1998,67,1
1172,2009,67,3
1172,1998,67,1
1173,1998,67,2
1173,2007,67,1
1185,1998,67,1
1200,1998,67,1
1200,2009,67,1
1212,2009,67,2
1212,1998,67,1
1412,2004,67,2
1420,1998,67,1
1433,1998,67,2
1434,1998,67,5
1434,2009,67,8
1510,1998,67,7
1510,2009,67,9
1523,1998,67,1
1610,1998,67,1
1611,1998,67,1
1611,2009,67,1
1612,1998,67,1
1630,1998,67,1
1630,2009,67,3
167,2009,67,6
211,1998,67,8
2660,1998,67,2
2660,2004,67,1
2661,2009,67,9
2662,1998,67,3
2662,2009,67,9
2750,1998,67,1
2750,2009,67,1
2910,2009,67,13
2915,2009,67,3
2921,2009,67,5
384,1998,67,1
48BIS,1998,67,1
48TER,1998,67,1
286,1814,67,2
98BIS,1814,67,1
1411,1814,67,1
1432,1814,67,3
167,1814,67,4
2566,2007,67,1
2575,2007,67,5
361,1996,67,3
1520,1997,67,1
2520,2008,67,1
2760,2017,67,1
2560,2002,67,1
282,1982,67,1
286,1981,67,1
2930,2002,67,3
2940,2002,67,3
405,1981,67,3
406,1981,67,3
68,1982,67,1
81,1981,67,1
2760,2009,51,4
2350,1998,67,1
2351,1998,67,1
2355,1998,67,1
1418,1997,67,2
1432,1997,67,4
2410,1997,67,5
2925,1997,67,8
2931,2011,67,1
4734,1997,67,1
1158,1998,67,1
2560,1998,67,5
2565,1998,67,5
2565,2015,67,2
2570,1998,67,1
4802,1814,67,1
1220,1998,67,1
2552,2005,67,1
2561,1998,67,2
2562,2005,67,1
2931,2003,67,1
4440,2018,67,1
1510,2020,67,1
2663,2007,67,7
1412,1991,67,1
153BIS,1991,67,3
211,1989,67,3
211,1991,67,1
2160,1991,67,1
2260,1989,67,1
2910,1991,67,4
2910,2013,67,7
3110,2013,67,1
376BIS,1989,67,2
376BIS,1991,67,1
89,1989,67,2
1450,2001,67,2
167,1997,67,2
2661,2001,67,2
286,2001,67,3
1111,2009,67,1
1180,1996,67,1
1433,1996,67,2
1450,2009,67,1
253,1996,67,6
2560,2009,67,4
2561,1996,67,1
2562,1996,67,1
2564,2009,67,2
2565,2009,67,2
2567,1996,67,3
2575,2009,67,1
2661,1996,67,2
2920,1996,67,6
2925,1996,67,3
322,1967,33,1
1412,2009,67,1
1414,2009,67,3
1715,2009,67,4
211,2000,67,2
2560,2000,67,6
2565,2000,67,3
2925,2000,67,13
2940,2000,67,4
